#time count_nursery count_young count_tenured
1473855000 5 2 2
1473855001 5 2 2
1473855002 5 2 2
1473855003 5 2 2
1473855004 5 2 2
1473855005 5 2 2
1473855006 5 2 2
1473855007 5 2 2
1473855008 5 2 2
1473855009 5 2 2
1473855010 5 2 2
1473855011 5 2 2
1473855012 5 2 2
1473855013 5 2 2
1473855014 5 2 2
1473855015 5 2 2
1473855016 5 2 2
1473855017 5 2 2
1473855018 5 2 2
1473855019 5 2 2
1473855020 5 2 2
1473855021 5 2 2
1473855022 5 2 2
1473855023 5 2 2
1473855024 5 2 2
1473855025 5 2 2
1473855026 5 2 2
1473855027 5 2 2
1473855028 5 2 2
1473855029 5 2 2
1473855030 5 2 2
1473855031 5 2 2
1473855032 5 2 2
1473855033 5 2 2
1473855034 5 2 2
1473855035 5 2 2
1473855036 5 2 2
1473855037 5 2 2
1473855038 5 2 2
1473855039 5 2 2
1473855040 5 2 2
1473855041 5 2 2
1473855042 5 2 2
1473855043 5 2 2
1473855044 5 2 2
1473855045 5 2 2
1473855046 5 2 2
1473855047 5 2 2
1473855048 5 2 2
1473855049 5 2 2
1473855050 5 2 2
1473855051 5 2 2
1473855052 5 2 2
1473855053 5 2 2
1473855054 5 2 2
1473855055 5 2 2
1473855056 5 2 2
1473855057 5 2 2
1473855058 5 2 2
1473855059 5 2 2
1473855060 5 2 2
1473855061 5 2 2
1473855062 5 2 2
1473855063 5 2 2
1473855064 5 2 2
1473855065 5 2 2
1473855066 5 2 2
1473855067 5 2 2
1473855068 5 1 2
1473855069 5 1 2
1473855070 5 1 2
1473855071 5 1 2
1473855072 5 1 2
1473855073 5 1 2
1473855074 5 1 2
1473855075 5 1 2
1473855076 5 1 2
1473855077 5 1 2
1473855078 5 1 2
1473855079 5 1 2
1473855080 5 1 2
1473855081 5 1 2
1473855082 5 1 2
1473855083 5 1 2
1473855084 5 1 2
1473855085 5 1 2
1473855086 5 1 2
1473855087 5 1 2
1473855088 5 1 2
1473855089 5 1 2
1473855090 5 1 2
1473855091 5 1 2
1473855092 5 1 2
1473855093 5 1 2
1473855094 5 1 2
1473855095 5 1 2
1473855096 5 1 2
1473855097 5 1 2
1473855098 5 1 2
1473855099 5 1 2
1473855100 5 1 2
1473855101 5 1 2
1473855102 5 1 2
1473855103 5 1 2
1473855104 5 1 2
1473855105 5 1 2
1473855106 5 1 2
1473855107 5 1 2
1473855108 5 1 2
1473855109 5 1 2
1473855110 5 1 2
1473855111 5 1 2
1473855112 5 1 2
1473855113 5 1 2
1473855114 5 1 2
